Month,Total,Year
January,2354,2016
February,2426,2016
March,2694,2016
April,2713,2016
May,3005,2016
June,3025,2016
July,3025,2016
August,3134,2016
September,3154,2016
October,3287,2016
November,3041,2016
December,2890,2016
January,2625,2017
February,2312,2017
March,2689,2017
April,2770,2017
May,2915,2017
June,3032,2017
July,3237,2017
August,2990,2017
September,3108,2017
October,3107,2017
November,2903,2017
December,2872,2017
January,2631,2018
February,2320,2018
March,2615,2018
April,2572,2018
May,2977,2018
June,3026,2018
July,3056,2018
August,3009,2018
September,3064,2018
October,3108,2018
November,2791,2018
December,2750,2018
January,2472,2019
February,2200,2019
March,2540,2019
April,2609,2019
May,2911,2019
June,2915,2019
July,3027,2019
August,3083,2019
September,3070,2019
October,2944,2019
November,2807,2019
December,2666,2019
