State,2019,2018,2017,2016,total
Alabama,930,953,948,1083,3914
Alaska,67,80,79,84,310
Arizona,981,1011,998,952,3942
Arkansas,505,520,525,561,2111
California,3606,3798,3884,3837,15125
Colorado,596,632,648,608,2484
Connecticut,249,293,281,304,1127
Delaware,132,111,119,119,481
District of Columbia,23,31,31,27,112
Florida,3183,3135,3116,3176,12610
Georgia,1491,1505,1540,1556,6092
Hawaii,108,117,107,120,452
Idaho,224,234,245,253,956
Illinois,1009,1035,1090,1078,4212
Indiana,809,860,916,829,3414
Iowa,336,319,330,402,1387
Kansas,411,405,461,429,1706
Kentucky,732,724,782,834,3072
Louisiana,727,771,770,757,3025
Maine,157,136,173,160,626
Maryland,521,512,558,522,2113
Massachusetts,334,355,347,387,1423
Michigan,985,977,1031,1065,4058
Minnesota,364,381,358,392,1495
Mississippi,643,663,685,687,2678
Missouri,880,921,932,947,3680
Montana,184,181,186,190,741
Nebraska,248,230,228,218,924
Nevada,304,329,311,329,1273
New Hampshire,101,147,102,136,486
New Jersey,559,563,624,602,2348
New Mexico,424,392,380,405,1601
New York,931,964,1006,1041,3942
North Carolina,1373,1436,1412,1450,5671
North Dakota,100,105,116,113,434
Ohio,1153,1068,1179,1132,4532
Oklahoma,640,655,657,687,2639
Oregon,489,502,439,498,1928
Pennsylvania,1059,1190,1137,1188,4574
Rhode Island,57,59,84,51,251
South Carolina,1001,1036,989,1020,4046
South Dakota,102,130,129,116,477
Tennessee,1135,1040,1024,1037,4236
Texas,3615,3648,3732,3797,14792
Utah,248,260,273,281,1062
Vermont,47,68,69,62,246
Virginia,831,820,839,760,3250
Washington,519,539,563,536,2157
West Virginia,260,294,304,269,1127
Wisconsin,566,589,613,607,2375
Wyoming,147,111,123,112,493
USA,36096,36835,37473,37806,148210
