State,2019,2018,2017,2016,total,2016_p,2017_p,2018_p,2019_p,2016_r,2017_r,2018_r,2019_r
Alabama,930,953,948,1083,3914,4864,4874,4888,4903,2.2265625,1.94501436,1.94967267,1.89679788
Alaska,67,80,79,84,310,741,740,735,732,1.13360324,1.06756757,1.08843537,0.91530055
Arizona,981,1011,998,952,3942,6941,7044,7158,7279,1.37156029,1.41680863,1.4124057,1.3477126
Arkansas,505,520,525,561,2111,2990,3001,3010,3018,1.87625418,1.74941686,1.72757475,1.67329357
California,3606,3798,3884,3837,15125,39167,39358,39462,39512,0.97965124,0.98683876,0.96244488,0.91263414
Colorado,596,632,648,608,2484,5539,5612,5691,5759,1.09767106,1.15466857,1.11052539,1.03490189
Connecticut,249,293,281,304,1127,3578,3573,3572,3565,0.84963667,0.78645396,0.82026876,0.69845722
Delaware,132,111,119,119,481,949,957,965,974,1.25395153,1.24346917,1.15025907,1.35523614
District of Columbia,23,31,31,27,112,686,695,702,706,0.39358601,0.44604317,0.44159544,0.32577904
Florida,3183,3135,3116,3176,12610,20613,20964,21244,21478,1.54077524,1.48635757,1.47571079,1.48198156
Georgia,1491,1505,1540,1556,6092,10302,10410,10511,10617,1.51038633,1.47934678,1.43183332,1.40435151
Hawaii,108,117,107,120,452,1428,1424,1421,1416,0.84033613,0.75140449,0.82336383,0.76271186
Idaho,224,234,245,253,956,1682,1718,1751,1787,1.50416171,1.42607683,1.33637921,1.25349748
Illinois,1009,1035,1090,1078,4212,12821,12779,12723,12672,0.84080805,0.85296189,0.81348739,0.79624369
Indiana,809,860,916,829,3414,6634,6658,6695,6732,1.24962315,1.37578853,1.2845407,1.20172311
Iowa,336,319,330,402,1387,3131,3142,3149,3155,1.28393485,1.05028644,1.01302001,1.06497623
Kansas,411,405,461,429,1706,2911,2909,2911,2913,1.47372037,1.58473702,1.39127448,1.41091658
Kentucky,732,724,782,834,3072,4438,4452,4461,4468,1.87922488,1.75651393,1.62295449,1.63831692
Louisiana,727,771,770,757,3025,4678,4671,4660,4649,1.61821291,1.64846928,1.65450644,1.56377716
Maine,157,136,173,160,626,1331,1335,1339,1344,1.20210368,1.29588015,1.01568335,1.16815476
Maryland,521,512,558,522,2113,6003,6024,6036,6046,0.86956522,0.92629482,0.84824387,0.86172676
Massachusetts,334,355,347,387,1423,6824,6860,6883,6893,0.56711606,0.5058309,0.51576348,0.48454954
Michigan,985,977,1031,1065,4058,9951,9973,9984,9987,1.0702442,1.03379124,0.97856571,0.98628217
Minnesota,364,381,358,392,1495,5523,5566,5606,5640,0.70975919,0.6431908,0.67962897,0.64539007
Mississippi,643,663,685,687,2678,2988,2989,2981,2976,2.29919679,2.29173637,2.22408588,2.16061828
Missouri,880,921,932,947,3680,6087,6107,6122,6137,1.5557746,1.52611757,1.50441032,1.43392537
Montana,184,181,186,190,741,1041,1052,1061,1069,1.82516811,1.76806084,1.70593779,1.7212348
Nebraska,248,230,228,218,924,1906,1916,1926,1934,1.14375656,1.18997912,1.19418484,1.28231644
Nevada,304,329,311,329,1273,2918,2970,3027,3080,1.12748458,1.04713805,1.0868847,0.98701299
New Hampshire,101,147,102,136,486,1342,1349,1353,1360,1.01341282,0.75611564,1.0864745,0.74264706
New Jersey,559,563,624,602,2348,8871,8886,8886,8882,0.67861571,0.70222822,0.63358091,0.62936276
New Mexico,424,392,380,405,1601,2092,2092,2093,2097,1.93594646,1.81644359,1.8729097,2.0219361
New York,931,964,1006,1041,3942,19633,19590,19530,19454,0.53022972,0.51352731,0.49359959,0.47856482
North Carolina,1373,1436,1412,1450,5671,10155,10268,10382,10488,1.42786805,1.37514608,1.38316317,1.30911518
North Dakota,100,105,116,113,434,754,755,758,762,1.49867374,1.53642384,1.38522427,1.31233596
Ohio,1153,1068,1179,1132,4532,11634,11660,11676,11689,0.97301014,1.01114923,0.91469681,0.98639747
Oklahoma,640,655,657,687,2639,3926,3931,3940,3957,1.74987264,1.67133045,1.66243655,1.61738691
Oregon,489,502,439,498,1928,4090,4144,4182,4218,1.21760391,1.05936293,1.20038259,1.15931721
Pennsylvania,1059,1190,1137,1188,4574,12782,12788,12801,12802,0.92943201,0.8891148,0.92961487,0.8272145
Rhode Island,57,59,84,51,251,1057,1056,1058,1059,0.48249763,0.79545455,0.55765595,0.53824363
South Carolina,1001,1036,989,1020,4046,4958,5021,5084,5149,2.05728116,1.96972715,2.03776554,1.94406681
South Dakota,102,130,129,116,477,863,873,879,885,1.34414832,1.47766323,1.47895336,1.15254237
Tennessee,1135,1040,1024,1037,4236,6646,6709,6772,6829,1.56033704,1.52630794,1.53573538,1.66202958
Texas,3615,3648,3732,3797,14792,27914,28295,28629,28996,1.36024934,1.31896095,1.27423242,1.24672369
Utah,248,260,273,281,1062,3042,3101,3154,3206,0.92373439,0.88036117,0.82435003,0.77354959
Vermont,47,68,69,62,246,624,624,624,624,0.99358974,1.10576923,1.08974359,0.75320513
Virginia,831,820,839,760,3250,8410,8464,8501,8536,0.90368609,0.99125709,0.9645924,0.9735239
Washington,519,539,563,536,2157,7295,7423,7524,7615,0.73474983,0.75845346,0.71637427,0.68154957
West Virginia,260,294,304,269,1127,1831,1817,1804,1792,1.46914255,1.67308751,1.62971175,1.45089286
Wisconsin,566,589,613,607,2375,5773,5790,5807,5822,1.05144639,1.05872193,1.01429309,0.97217451
Wyoming,147,111,123,112,493,584,579,578,579,1.91780822,2.12435233,1.92041522,2.5388601
USA,36096,36835,37473,37806,148210,,,,,,,,
